24.00 1.0041 3397.00 1731.00 1666.00 3397 3397  3396.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
24.25 1.0062 3418.00 1759.00 1659.00 3418 3418  3417.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
24.50 1.0044 3433.00 1770.00 1663.00 3433 3433  3432.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
24.75 1.0055 3452.00 1792.00 1660.00 3452 3452  3451.00 0.00 0.00 1.00 5.48 1.00 0.99  0.0
25.00 1.0029 3462.00 1796.00 1666.00 3462 3462  3461.00 0.00 0.00 1.00 5.48 1.00 0.99  0.0
25.25 1.0003 3463.00 1781.00 1682.00 3463 3463  3462.00 0.00 0.00 1.00 5.48 1.00 0.99  0.0
25.50 1.0046 3479.00 1809.00 1670.00 3479 3479  3478.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
25.75 0.9994 3477.00 1782.00 1695.00 3477 3477  3476.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
26.00 1.0000 3477.00 1772.00 1705.00 3477 3477  3476.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
26.25 1.0003 3478.00 1766.00 1712.00 3478 3478  3477.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
26.50 1.0014 3483.00 1755.00 1728.00 3483 3483  3482.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
26.75 1.0055 3502.00 1772.00 1730.00 3502 3502  3501.00 0.00 0.00 1.00 5.49 1.00 0.99  0.0
27.00 1.0051 3520.00 1784.00 1736.00 3520 3520  3519.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
27.25 1.0006 3522.00 1778.00 1744.00 3522 3522  3521.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
27.50 1.0014 3527.00 1774.00 1753.00 3527 3527  3526.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
27.75 1.0017 3533.00 1788.00 1745.00 3533 3533  3532.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
28.00 1.0000 3533.00 1769.00 1764.00 3533 3533  3532.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
28.25 0.9983 3527.00 1746.00 1781.00 3527 3527  3526.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
28.50 0.9991 3524.00 1734.00 1790.00 3524 3524  3523.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
28.75 1.0011 3528.00 1723.00 1805.00 3528 3528  3527.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
29.00 0.9966 3516.00 1696.00 1820.00 3516 3516  3515.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
29.25 0.9997 3515.00 1671.00 1844.00 3515 3515  3514.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
29.50 0.9974 3506.00 1632.00 1874.00 3506 3506  3505.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
29.75 0.9997 3505.00 1620.00 1885.00 3505 3505  3504.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
30.00 1.0009 3508.00 1616.00 1892.00 3508 3508  3507.00 0.00 0.00 1.00 5.50 1.00 0.99  0.0
30.25 1.0037 3521.00 1622.00 1899.00 3521 3521  3520.00 0.00 0.00 1.00 5.51 1.00 0.99  0.0
30.50 1.0009 3524.00 1604.00 1920.00 3524 3524  3523.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
30.75 1.0006 3526.00 1592.00 1934.00 3526 3526  3525.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
31.00 0.9983 3520.00 1564.00 1956.00 3520 3520  3519.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
31.25 1.0037 3533.00 1576.00 1957.00 3533 3533  3532.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
31.50 0.9986 3528.00 1549.00 1979.00 3528 3528  3527.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
31.75 0.9986 3523.00 1531.00 1992.00 3523 3523  3522.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
32.00 0.9991 3520.00 1506.00 2014.00 3520 3520  3519.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
32.25 1.0006 3522.00 1498.00 2024.00 3522 3522  3521.00 0.00 0.00 1.00 5.50 1.00 0.98  0.0
32.50 0.9969 3511.00 1466.00 2045.00 3511 3511  3510.00 0.00 0.00 1.00 5.50 1.00 0.98  0.0
32.75 0.9957 3496.00 1441.00 2055.00 3496 3496  3495.00 0.00 0.00 1.00 5.50 1.00 0.98  0.0
33.00 0.9963 3483.00 1404.00 2079.00 3483 3483  3482.00 0.00 0.00 1.00 5.50 1.00 0.98  0.0
33.25 0.9991 3480.00 1384.00 2096.00 3480 3480  3479.00 0.00 0.00 1.00 5.50 1.00 0.98  0.0
33.50 0.9948 3462.00 1348.00 2114.00 3462 3462  3461.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
33.75 0.9980 3455.00 1317.00 2138.00 3455 3455  3454.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
34.00 0.9974 3446.00 1293.00 2153.00 3446 3446  3445.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
34.25 0.9994 3444.00 1271.00 2173.00 3444 3444  3443.00 0.00 0.00 1.00 5.50 1.00 0.98  0.0
34.50 1.0003 3445.00 1271.00 2174.00 3445 3445  3444.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
34.75 0.9951 3428.00 1230.00 2198.00 3428 3428  3427.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
35.00 0.9988 3424.00 1206.00 2218.00 3424 3424  3423.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
35.25 0.9974 3415.00 1183.00 2232.00 3415 3415  3414.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
35.50 0.9965 3403.00 1164.00 2239.00 3403 3403  3402.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
35.75 0.9976 3395.00 1141.00 2254.00 3395 3395  3394.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
36.00 0.9991 3392.00 1118.00 2274.00 3392 3392  3391.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
36.25 0.9973 3383.00 1099.00 2284.00 3383 3383  3382.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
36.50 0.9997 3382.00 1084.00 2298.00 3382 3382  3381.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
36.75 0.9941 3362.00 1056.00 2306.00 3362 3362  3361.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
37.00 0.9991 3359.00 1042.00 2317.00 3359 3359  3358.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
37.25 1.0012 3363.00 1027.00 2336.00 3363 3363  3362.00 0.00 0.00 1.00 5.51 1.00 0.98  0.0
